Term	Annotator1	Annotator2	Annotator3	Annotator4	Annotator5
fillets	steak	steak	steak	steak	steak
fillings	none	none	none	none	none
finally	none	none	none	none	none
first	none	none	none	none	none
fish	seafood	seafood	seafood	seafood	seafood
fish_sauce	seafood	seafood	seafood	seafood	seafood
fishes	seafood	seafood	none	seafood	seafood
flank_steak	steak	steak	steak	steak	steak
flat_bread	none	none	none	none	none
flat_iron	steak	none	steak	none	none
flavor	none	none	none	none	none
fondue	none	none	desserts	none	desserts
food	none	none	none	none	none
footlong	none	none	none	none	none
french_fries	none	burgers	burgers	burgers	burgers
fresh	none	none	none	none	none
freshest_fish	seafood	seafood	seafood	seafood	seafood
fried_catfish	seafood	seafood	seafood	seafood	seafood
fried_chicken	none	none	none	none	none
fried_fish	seafood	seafood	seafood	seafood	seafood
fried_pickles	none	none	none	none	burgers
fried_rice	none	none	noodles	none	none
friendly	none	none	none	none	none
fries	none	burgers	burgers	burgers	burgers
frites	none	burgers	steak	burgers	burgers
futomaki	sushi	sushi	sushi	sushi	sushi
garbanzo	none	none	none	none	none
garnishes	none	none	none	none	none
get	none	none	none	none	none
go	none	none	none	none	none
good	none	none	none	none	none
got	none	none	none	none	none
granola	none	desserts	desserts	desserts	desserts
grated	none	pizza	none	none	none
greasy	none	none	none	none	none
great	none	none	none	none	none
greek	none	desserts	desserts	none	none
greens	salad	salad	salad	salad	salad
grilled_cheese	none	none	none	none	none
grimaldis	pizza	pizza	pizza	pizza	pizza
ground_beef	burgers	burgers	burgers	burgers	burgers
ground_pork	none	none	none	none	none
guys	none	none	burgers	none	none
hamachi	seafood	sushi	sushi	sushi	sushi
hamburger	burgers	burgers	burgers	burgers	burgers
hamburgers	burgers	burgers	burgers	burgers	burgers
hand_pulled	none	none	noodles	noodles	noodles
hand_pulled_noodles	noodles	noodles	noodles	noodles	noodles
handrolls	none	sushi	sushi	sushi	sushi
hanger_steak	steak	steak	steak	steak	steak
hazelnut	none	none	none	none	none
healthy	none	salad	salad	salad	none
hot_dog	none	burgers	none	none	burgers
hot_dogs	none	burgers	none	none	burgers
houses	none	steak	none	none	none
hut	none	pizza	pizza	pizza	none
ice_cream	desserts	desserts	desserts	desserts	desserts
ikura	sushi	sushi	sushi	sushi	sushi
imitation_crab	seafood	seafood	seafood	seafood	seafood
italian	none	pizza	pizza	pizza	none
italian_sausage	none	pizza	pizza	none	none
japanese	sushi	sushi	sushi	sushi	none
jasmine_rice	none	none	none	none	none
jellies	none	seafood	desserts	desserts	desserts
juicy	none	none	none	none	none
jumbo_shrimp	seafood	seafood	seafood	seafood	seafood
kale	salad	salad	salad	salad	salad
katsuya	sushi	sushi	sushi	sushi	sushi
kimchi	none	none	none	none	none
king_crab	seafood	seafood	seafood	seafood	seafood
knife_cut	none	none	none	steak	noodles
knife_shaved	none	steak	noodles	none	noodles
know	none	none	none	none	none
koma	none	none	none	none	none
lamb_chops	none	none	none	none	steak
lanzhou	noodles	noodles	noodles	noodles	noodles
later	none	none	none	none	none
lentils	none	none	none	none	none
lettuce	salad	none	none	none	none
like	none	none	none	none	none
little	none	none	none	none	none
lobster	seafood	seafood	seafood	seafood	seafood
lobsters	seafood	seafood	seafood	seafood	seafood
location	none	none	none	none	none
love	none	none	none	none	none
macaron	desserts	desserts	desserts	desserts	desserts
mackerel	seafood	seafood	seafood	seafood	seafood
magic_noodle	noodles	noodles	noodles	noodles	noodles
maguro	none	none	sushi	none	none
maki	seafood	sushi	sushi	sushi	none
maki_rolls	sushi	sushi	sushi	sushi	sushi
manager	none	none	none	none	none
margherita_pizza	pizza	pizza	pizza	pizza	pizza
mashed_potatoes	none	none	steak	none	none
meal	none	none	none	none	none
meat	none	none	none	none	none
meatball	none	none	pizza	none	none
meatballs	none	none	pizza	none	none
meats	none	none	none	none	none
med_rare	steak	steak	steak	steak	steak
medium	steak	none	steak	none	none
medium_rare	steak	steak	steak	steak	steak
menu	none	none	none	none	none
milkshakes	desserts	desserts	desserts	desserts	desserts
minced_pork	none	pizza	none	none	none
minutes	none	none	none	none	none
miso	none	sushi	noodles	none	none
miso_soup	none	noodles	noodles	none	none
mixed_greens	salad	salad	salad	salad	salad
mousse	desserts	desserts	desserts	desserts	desserts
mozzarella	pizza	pizza	pizza	pizza	pizza
mushi	none	none	none	none	none
mussel	seafood	seafood	seafood	seafood	seafood
mussels	seafood	seafood	seafood	seafood	seafood
napoletana	pizza	pizza	pizza	pizza	pizza
neapolitan	pizza	desserts	pizza	desserts	pizza
never	none	none	none	none	none
nice	none	none	none	none	none
nigiri	sushi	sushi	sushi	sushi	sushi
nigri	sushi	sushi	sushi	sushi	sushi
nitamago	none	none	noodles	noodles	noodles
noodle	noodles	noodles	noodles	noodles	noodles
noodle_soup	none	noodles	noodles	noodles	noodles
noodles	noodles	noodles	noodles	noodles	noodles
nutella	desserts	desserts	desserts	desserts	desserts
octopus	seafood	seafood	seafood	seafood	seafood
oil	none	none	none	none	none
olive_garden	noodles	pizza	none	none	none
olives	none	pizza	pizza	pizza	pizza
omelettes	none	desserts	none	none	none
one	none	none	none	none	none
onion	none	none	none	none	none
order	none	none	none	none	none
ordered	none	none	none	none	none
oreganos	none	none	none	none	none
outback	steak	steak	steak	steak	steak
oven	none	none	none	none	none
oyster	seafood	seafood	seafood	seafood	seafood
oysters	seafood	seafood	seafood	seafood	seafood
paella	seafood	seafood	seafood	seafood	seafood
pan_fried	none	none	none	none	none
pancake	none	desserts	desserts	desserts	desserts
paninis	none	none	none	none	none
papa_john	pizza	pizza	pizza	pizza	pizza
papa_johns	pizza	pizza	pizza	pizza	pizza
papaya	none	salad	desserts	none	desserts
pasta	noodles	noodles	noodles	noodles	noodles
pastas	noodles	noodles	noodles	noodles	noodles
pastries	desserts	desserts	desserts	desserts	desserts
patties	burgers	burgers	burgers	burgers	burgers
patty	burgers	burgers	burgers	burgers	burgers
patty_melt	burgers	none	burgers	burgers	burgers
people	none	none	none	none	none
pepperoni	pizza	steak	pizza	pizza	pizza
pho	none	noodles	noodles	noodles	noodles
pickles	none	burgers	none	none	burgers
pie	desserts	pizza	desserts	desserts	desserts
pies	desserts	desserts	desserts	desserts	desserts
pita_bread	none	pizza	none	none	none
pizza	pizza	pizza	pizza	pizza	pizza
pizza_pizza	pizza	pizza	pizza	pizza	pizza
pizzas	pizza	pizza	pizza	pizza	pizza
pizzeria	pizza	pizza	pizza	pizza	pizza
pizzerias	pizza	pizza	pizza	pizza	pizza
place	none	none	none	none	none
places	none	none	none	none	none
pork	none	none	none	none	none
porridge	none	desserts	none	none	none
porter	steak	none	steak	none	steak
porterhouse	steak	none	steak	steak	steak
pot_pie	none	desserts	none	none	none
potato_salad	none	none	salad	none	salad
potsticker	none	none	none	none	none
poutine	none	desserts	none	none	burgers
prawns	seafood	seafood	seafood	seafood	seafood
presentation	none	none	none	none	none
pretty	none	none	none	none	none
pretzels	none	none	none	none	none
prime_rib	steak	steak	steak	steak	steak
quality	none	none	none	none	none
quinoa	salad	none	salad	none	salad
quite	none	none	none	none	none
ramen	noodles	noodles	noodles	noodles	noodles
rare	steak	steak	steak	steak	steak
raw_oysters	seafood	seafood	seafood	seafood	seafood
really	none	none	none	none	none
recommend	none	none	none	none	none
red_onion	none	none	none	none	none
restaurant	none	none	none	none	none
revolving_sushi	sushi	sushi	sushi	sushi	sushi
rib_eye	steak	steak	steak	steak	steak
ribeye	steak	steak	steak	steak	steak
ribeyes	steak	steak	steak	steak	steak
rice	sushi	noodles	none	none	none
rice_noodles	noodles	noodles	noodles	noodles	noodles
rices	none	none	none	none	none
rich	none	none	none	none	none
ricotta	none	burgers	none	none	none
rings	none	none	none	none	none
roast_beef	none	none	none	none	none
roast_duck	none	none	none	none	none
roll	sushi	sushi	sushi	sushi	sushi
rolls	sushi	sushi	sushi	sushi	sushi
romaine	salad	none	salad	none	none
romaine_lettuce	salad	salad	salad	salad	salad
roughy	none	none	none	none	none
said	none	none	none	none	none
sakana	sushi	sushi	sushi	sushi	sushi
sake	none	sushi	sushi	none	none
salad	salad	salad	salad	salad	salad
salads	salad	salad	salad	salad	salad
salmon	seafood	seafood	seafood	seafood	seafood
saltimbocca	none	none	none	none	none
sandwich	none	none	none	none	burgers
sardines	seafood	seafood	seafood	seafood	seafood
sashimi	sushi	sushi	sushi	sushi	sushi
satay	none	none	none	none	none
sauce	none	salad	none	none	none
sausage	none	salad	pizza	none	pizza
sause	none	none	none	none	none
savoury	none	none	none	none	none
scallop	seafood	seafood	seafood	seafood	seafood
scallops	seafood	seafood	seafood	seafood	seafood
scones	desserts	pizza	desserts	desserts	desserts
seafood	seafood	seafood	seafood	seafood	seafood
seared_tuna	seafood	seafood	sushi	sushi	none
seated	none	none	none	none	none
see	none	none	none	none	none
server	none	none	none	none	none
service	none	none	none	none	none
shakes	desserts	desserts	desserts	desserts	desserts
shallots	none	salad	none	none	none
shang	none	none	none	none	none
shank	none	none	none	none	none
shellfish	seafood	seafood	seafood	seafood	seafood
shio_ramen	noodles	noodles	noodles	noodles	noodles
shishito_peppers	none	none	none	none	none
shortbread	none	none	none	none	none
shoyu_broth	none	noodles	noodles	noodles	noodles
shoyu_ramen	noodles	noodles	noodles	noodles	noodles
shrimp	seafood	seafood	seafood	seafood	seafood
shrimps	seafood	seafood	seafood	seafood	seafood
sicilian	pizza	pizza	pizza	pizza	pizza
side	none	none	none	none	none
sirloin	steak	steak	steak	steak	steak
sirloin_steak	steak	steak	steak	steak	steak
skirt_steak	steak	steak	steak	steak	steak
slice	pizza	pizza	pizza	pizza	none
slices	pizza	pizza	pizza	pizza	pizza
small	none	none	none	none	none
smash_fries	none	burgers	none	none	burgers
smoked_meat	none	none	none	none	none
smoked_salmon	seafood	seafood	seafood	seafood	seafood
soft_boiled_egg	none	none	noodles	noodles	noodles
softshell	none	none	seafood	seafood	seafood
sorbet	desserts	desserts	desserts	desserts	desserts
soup	none	noodles	none	none	none
soups	none	noodles	noodles	none	none
specialty_rolls	sushi	sushi	sushi	sushi	sushi
spicy	none	none	none	none	none
spicy_miso_ramen	noodles	noodles	noodles	noodles	noodles
spicy_salmon_roll	sushi	sushi	sushi	sushi	sushi
spicy_tuna	sushi	sushi	sushi	sushi	none
spicy_tuna_roll	sushi	seafood	sushi	sushi	sushi
spicy_wonton	none	noodles	noodles	none	noodles
spring_mix	salad	salad	salad	salad	salad
squid	seafood	seafood	seafood	seafood	seafood
staff	none	none	none	none	none
steak	steak	steak	steak	steak	steak
steakhouse	steak	steak	steak	steak	steak
steakhouses	steak	steak	steak	steak	steak
steaks	steak	steak	steak	steak	steak
steamed_buns	burgers	burgers	burgers	burgers	burgers
steamed_rice	none	none	none	none	none
stewed	none	none	none	none	none
sticky_rice	none	none	none	none	none
stir_fried	noodles	none	noodles	none	noodles
stir_fry	noodles	none	noodles	none	noodles
sundaes	desserts	desserts	desserts	desserts	desserts
sunflower	none	none	salad	none	none
sushi	sushi	sushi	sushi	sushi	sushi
sushiholic	sushi	sushi	sushi	sushi	sushi
sushimon	sushi	sushi	sushi	sushi	sushi
sushiritto	sushi	sushi	sushi	sushi	sushi
sushis	sushi	sushi	sushi	sushi	sushi
sweet	desserts	desserts	desserts	desserts	desserts
sweets	desserts	desserts	desserts	desserts	desserts
table	none	none	none	none	none
take	none	none	none	none	none
tarts	desserts	pizza	desserts	desserts	desserts
taste	none	none	none	none	none
tasted	none	none	none	none	none
tataki	seafood	seafood	sushi	sushi	seafood
tater_tots	none	none	none	none	none
tempura	sushi	sushi	sushi	sushi	seafood
thai	none	none	none	none	none
thin	none	none	none	none	none
think	none	none	none	none	none
time	none	none	none	none	none
tokyo	none	none	sushi	sushi	none
told	none	none	none	none	none
tomatoes	none	burgers	none	none	none
tonkotsu	none	noodles	noodles	noodles	noodles
tonkotsu_broth	noodles	noodles	noodles	noodles	noodles
tonkotsu_ramen	noodles	noodles	noodles	noodles	noodles
took	none	none	none	none	none
toppings	none	salad	none	none	salad
toro	none	sushi	sushi	sushi	sushi
torte	desserts	desserts	desserts	desserts	desserts
tortilla_soup	none	none	none	none	none
tots	none	none	none	none	none
tough	none	none	none	none	none
truffles	none	none	none	none	none
try	none	none	none	none	none
tuna	seafood	sushi	sushi	sushi	none
two	none	none	none	none	none
udon	noodles	noodles	noodles	noodles	noodles
unagi	seafood	seafood	sushi	seafood	none
uni	none	none	sushi	none	none
us	none	none	none	none	none
ve	none	none	none	none	none
vinaigrette	salad	salad	salad	salad	salad
waffles	desserts	desserts	desserts	desserts	desserts
wait	none	none	none	none	none
waited	none	none	none	none	none
waiting	none	none	none	none	none
waitress	none	none	none	none	none
walked	none	none	none	none	none
wanted	none	none	none	none	none
wasabi	sushi	sushi	sushi	sushi	none
water	none	none	none	none	none
wedge_salad	salad	salad	salad	salad	salad
wedges	none	none	none	none	none
well	none	none	none	none	none
white_rice	none	none	none	none	none
whopper	burgers	burgers	burgers	burgers	burgers
wild_mushroom	none	none	none	none	none
wilted	none	none	none	none	none
wings	none	burgers	none	none	none
wok	none	none	noodles	none	none
would	none	none	none	none	none
yama	seafood	none	none	none	none
yasu	sushi	sushi	sushi	sushi	sushi
yellowtail	seafood	seafood	sushi	seafood	seafood
yogurts	none	desserts	desserts	none	desserts
