Term	Annotator1	Annotator2	Annotator3	Annotator4	Annotator5
business	business	business	business	business	business
businesses	business	business	business	business	business
businessmen	business	business	business	business	business
buyers	none	business	business	business	business
cambridge_university	education	education	education	education	education
campaign	politics	politics	politics	politics	politics
canada	none	none	politics	none	none
canadian_business	business	business	business	business	business
cancer	health	health	health	health	health
candidate	politics	politics	politics	politics	politics
candidates	politics	politics	politics	politics	none
cardiac	health	health	health	health	health
care	health	health	health	health	health
case	none	none	none	none	none
cases	none	none	none	none	none
cavazos	none	none	none	none	none
cellular_telephones	technology	technology	technology	technology	technology
centrism	politics	none	politics	politics	politics
centrist	politics	politics	politics	politics	politics
centrists	politics	none	politics	politics	politics
champion	sports	sports	sports	sports	sports
championships	sports	sports	sports	sports	sports
charges	none	business	business	business	business
chemical_engineering	education	education	science	science	science
chemistry	science	science	science	science	science
child	none	none	education	none	none
children	none	none	education	none	education
china	none	politics	politics	none	none
chinese	none	none	none	none	none
choral	arts	arts	arts	arts	arts
choreographers	arts	arts	arts	arts	arts
circuit_boards	technology	technology	technology	technology	technology
circulation	none	business	none	none	business
city	real_estate	none	real_estate	none	none
classes	education	education	education	education	education
classroom	education	education	education	education	education
classrooms	education	education	education	education	education
clients	none	business	none	none	none
clinics	health	health	health	health	health
clinton	politics	politics	politics	politics	politics
clubs	none	none	sports	none	none
coach	sports	sports	sports	sports	sports
coaches	sports	sports	sports	sports	sports
coldwell_banker	business	business	business	business	business
coldwell_banker_schlott	business	business	real_estate	business	business
colleges	education	education	education	education	education
colleges_and_universities	education	education	education	education	education
combine	none	none	none	none	none
come	none	none	none	none	none
commander	none	none	politics	none	none
commerce	business	business	business	business	business
commercial	business	business	business	business	business
commissions	business	business	business	business	business
committee	none	none	none	none	none
communicable	none	none	none	none	none
companies	business	business	business	business	business
companies'	business	business	business	business	business
company	business	business	business	business	business
competitions	sports	sports	sports	sports	sports
components	none	none	none	none	none
composers	arts	arts	arts	arts	arts
computer	technology	technology	technology	technology	technology
computerized	arts	technology	technology	technology	technology
computers	technology	technology	technology	technology	technology
concerts	arts	arts	arts	arts	arts
condo	real_estate	real_estate	real_estate	real_estate	real_estate
condominium	real_estate	real_estate	real_estate	real_estate	real_estate
condominiums	real_estate	real_estate	real_estate	real_estate	real_estate
condos	real_estate	real_estate	real_estate	real_estate	real_estate
conglomerates	business	business	business	business	business
congress	politics	politics	politics	politics	politics
conservative	politics	politics	politics	politics	politics
conservative_coalition	politics	politics	politics	politics	politics
constituencies	none	none	politics	none	politics
construction	none	none	real_estate	none	real_estate
consumer_electronics	technology	technology	technology	technology	technology
contemporary_art	arts	arts	arts	arts	arts
copiers	technology	technology	technology	technology	technology
corporate	business	business	business	business	business
corporation	business	business	business	business	business
corporations	business	business	business	business	business
could	none	none	none	none	none
country	none	none	none	none	none
court	none	none	none	none	none
criminal	politics	none	politics	politics	none
cultural	none	none	none	none	arts
currency	business	business	business	business	business
curriculum	education	education	education	education	education
curriculums	education	education	health	education	education
customer	business	business	business	business	business
customers	business	business	business	business	business
dance	arts	arts	arts	arts	arts
dancers	arts	arts	arts	arts	arts
day	none	none	none	none	none
dealings	business	business	business	business	business
decoders	technology	technology	technology	technology	technology
decorative_arts	arts	arts	arts	arts	arts
demagogue	politics	politics	politics	politics	politics
democrat	politics	politics	politics	politics	politics
democratic	politics	politics	politics	politics	politics
democratic_party	politics	politics	politics	politics	politics
democratic_party''	politics	politics	politics	politics	politics
democrats	politics	politics	politics	politics	politics
developer	real_estate	technology	real_estate	real_estate	none
developers	real_estate	technology	real_estate	real_estate	none
devices	technology	technology	technology	technology	technology
digital	technology	technology	technology	technology	technology
disease	health	health	health	health	health
diseases	health	health	health	health	health
disk_drives	technology	technology	technology	technology	technology
diversifying	none	none	business	none	none
doctor	health	health	health	health	health
doctors	health	health	health	health	health
dogmatic	none	none	politics	politics	politics
dollar	none	none	business	none	business
dr	health	none	none	none	none
drug	health	health	health	health	health
east	none	none	none	none	none
ecology	science	science	science	science	science
economic	business	business	business	business	business
economy	business	business	business	business	business
education	education	education	education	education	education
education_reform	education	education	education	education	education
educational	education	education	education	education	education
educator	education	education	education	education	education
educators	education	education	education	education	education
eighth_grade	education	education	education	education	education
elected	politics	politics	politics	politics	politics
election	politics	politics	politics	politics	politics
elections	politics	politics	politics	politics	politics
electoral	politics	politics	politics	politics	politics
electronic	technology	technology	technology	technology	technology
electronics	technology	technology	technology	technology	technology
elementary	none	none	education	education	education
elementary_school	education	education	education	education	education
emergency_department	health	health	health	health	health
emergency_rooms	health	health	health	health	health
employees	none	business	business	none	business
employer	business	business	business	business	business
endowment	business	business	business	business	business
english_literature	arts	arts	arts	arts	arts
enterprise	business	business	business	business	business
enterprises	business	business	business	business	business
entrepreneurs	business	business	business	business	business
epidemic	health	health	health	health	health
epidemiology	science	science	science	science	science
equipment	none	none	none	none	technology
even	none	none	none	none	none
executives	business	business	business	business	business
exhibitions	arts	arts	arts	arts	arts
factionalism	politics	politics	politics	politics	politics
family	none	none	none	none	none
fans	sports	sports	sports	sports	none
federal	politics	politics	politics	politics	politics
festivals	none	none	none	none	none
financial	business	business	business	business	business
financial_institutions	business	business	business	business	business
financial_services	business	business	business	business	business
fine_art	arts	arts	arts	arts	arts
fine_arts	arts	arts	arts	arts	arts
firms	business	business	business	business	business
firms'	business	business	business	business	business
first	none	none	none	none	none
flat_panel	none	none	technology	none	none
florida_state_university	education	education	education	education	education
folk_dance	arts	arts	arts	arts	arts
football	sports	sports	sports	sports	sports
forces	none	none	politics	none	politics
former	none	none	none	none	none
gadgets	technology	technology	technology	technology	technology
galas	none	none	none	none	none
game	sports	sports	sports	sports	sports
games	sports	sports	sports	sports	sports
ge_capital	business	business	business	business	business
gen	none	none	none	none	none
geneticist	science	science	science	science	science
george_balanchine	arts	arts	arts	arts	arts
get	none	none	none	none	none
go	none	none	none	none	none
going	none	none	none	none	none
gov	politics	politics	politics	politics	politics
government	politics	politics	politics	politics	politics
governor	politics	politics	politics	politics	politics
grades	education	education	education	education	education
graduate_school_of_journalism	education	education	education	education	education
group	none	none	none	none	none
halstead	none	none	none	none	none
handball	sports	sports	sports	sports	sports
hardware	technology	technology	technology	technology	technology
health	health	health	health	health	health
health_affairs	health	health	health	health	health
health_care	health	health	health	health	health
health_care_reform	health	health	health	health	health
health_insurance	health	health	health	health	health
health_maintenance_organization	health	health	health	health	health
health_policy	health	health	health	health	health
health_service	health	health	health	health	health
healthcare	health	health	health	health	health
high_school	education	education	education	education	education
high_schools	education	education	education	education	education
higher_education	education	education	education	education	education
hockey	sports	sports	sports	sports	sports
holding_companies	business	business	business	business	business
home	none	none	real_estate	none	real_estate
homes	real_estate	real_estate	real_estate	real_estate	real_estate
hospital	health	health	health	health	health
hospitals	health	health	health	health	health
house	none	real_estate	real_estate	real_estate	real_estate
housing	real_estate	real_estate	real_estate	real_estate	real_estate
housing_projects	real_estate	real_estate	real_estate	real_estate	real_estate
humanities	arts	arts	arts	arts	none
hussein	politics	politics	politics	politics	none
ice_hockey	sports	sports	sports	sports	sports
ideological	politics	politics	politics	politics	politics
ideologically	politics	politics	politics	politics	politics
ideology	politics	politics	politics	politics	politics
illnesses	health	health	health	health	health
industries	business	business	business	business	business
industry	business	business	business	business	none
infected	health	health	health	health	health
infectious_diseases	health	health	health	health	health
inflation	business	business	business	business	business
information_technology	technology	technology	technology	technology	technology
instruction	education	education	education	education	education
instructional	education	education	education	education	education
integrated_circuits	technology	technology	technology	technology	technology
intelligence	politics	science	science	science	none
interest	none	none	none	none	none
investigation	none	none	none	none	none
investing_diary	business	business	business	business	business
investment	business	business	business	business	business
investment_banking	business	business	business	business	business
investments	business	business	business	business	business
investors	business	business	business	business	business
iraq	none	politics	politics	none	none
iraqi	none	politics	politics	politics	none
iraqis	none	politics	politics	politics	none
isadora_duncan	arts	arts	arts	arts	arts
ishikawajima	business	business	business	business	business
japan	none	politics	politics	none	none
japanese	none	none	none	none	none
judge	none	none	none	none	none
killed	none	none	none	none	none
know	none	none	none	none	none
lab	science	science	science	science	science
laboratories	science	science	science	science	science
laboratory	science	science	science	science	science
labs	science	science	science	science	science
largest	none	none	none	none	none
last	none	none	none	none	none
law	none	none	none	none	none
lawyer	none	none	none	none	none
lawyers	none	none	none	none	none
leaders	none	none	none	none	none
league	sports	sports	sports	sports	sports
leasehold	real_estate	real_estate	real_estate	real_estate	real_estate
leewood	none	none	none	none	none
legal	none	none	none	none	none
legislature	politics	politics	politics	politics	politics
liberal	politics	politics	politics	politics	politics
liberalism	politics	politics	politics	politics	politics
life	none	none	health	none	none
like	none	none	none	none	none
long	none	none	none	none	none
long_term_care	health	health	health	health	health
machinery	technology	technology	technology	technology	technology
machines	technology	technology	technology	technology	technology
made	none	none	none	none	none
mainframes	technology	technology	technology	technology	technology
make	none	none	none	none	none
managed_care	health	health	health	health	health
manhattan	none	none	none	none	none
many	none	none	none	none	none
marine	none	politics	politics	none	politics
market	business	business	business	business	business
markets	business	business	business	business	business
masterworks	arts	arts	arts	arts	arts
match	sports	sports	sports	sports	sports
math	science	science	science	science	science
mathematics	education	education	science	science	science
mayor	politics	politics	politics	politics	politics
mechanical	none	science	none	none	technology
media	arts	arts	arts	arts	arts
medical	health	health	health	health	health
medical_insurance	health	health	health	health	health
meeting	none	none	none	none	none
mental_health	health	health	health	health	health
microbiology	science	science	science	science	science
microelectronics	technology	technology	technology	technology	technology
microprocessor	technology	technology	technology	technology	technology
microprocessors	technology	technology	technology	technology	technology
middle_school	education	education	education	education	education
military	politics	politics	politics	politics	politics
million	none	none	business	none	none
missile_guidance	technology	technology	technology	technology	technology
mitsubishi_corporation	business	business	business	business	business
mixed_use_development	real_estate	none	real_estate	none	none
modern_art	arts	arts	arts	arts	arts
modern_dance	arts	arts	arts	arts	arts
moma	none	none	arts	none	arts
mortgage	real_estate	real_estate	real_estate	real_estate	real_estate
mr	none	none	none	none	none
ms	none	none	none	none	none
much	none	none	none	none	none
multifamily	real_estate	real_estate	real_estate	real_estate	real_estate
multifamily_housing	real_estate	real_estate	real_estate	real_estate	real_estate
multimedia	none	technology	technology	technology	technology
multinational_corporations	none	business	business	business	business
multinationals	none	none	none	none	none
museum	education	arts	none	arts	arts
museum_of_fine_arts	arts	arts	arts	arts	arts
museums	education	arts	none	arts	arts
n.b.a	sports	sports	sports	sports	sports
national_health_insurance	health	health	business	health	business
national_health_service	health	health	health	health	health
national_party	politics	politics	politics	politics	politics
near	none	none	none	none	none
nearby	none	none	real_estate	none	none
neighborhood	real_estate	real_estate	real_estate	real_estate	real_estate
new	none	none	none	none	none
nuclear_technology	technology	technology	technology	technology	technology
nurses	health	health	health	health	health
nursing	health	health	health	health	health
obstetric	health	health	health	health	health
officers	none	none	none	none	none
official	none	none	politics	none	none
officials	politics	politics	politics	politics	politics
oil	none	business	none	none	none
old	none	none	none	none	none
olympians	sports	sports	sports	sports	sports
olympic	sports	sports	sports	sports	sports
olympics	sports	sports	sports	sports	sports
one	none	none	none	none	none
ops	none	none	none	none	none
outpatient_clinics	health	health	health	health	health
parties	politics	politics	politics	politics	politics
party	none	politics	politics	politics	politics
passivity	none	none	none	none	none
patient	none	health	health	health	health
patients	health	health	health	health	health
pentagon	politics	politics	politics	politics	politics
people	none	none	none	none	none
percent	business	business	none	none	none
performance_art	arts	arts	arts	arts	arts
performance_artist	arts	arts	arts	arts	arts
performing_arts	arts	arts	arts	arts	arts
peripherals	technology	technology	technology	technology	technology
personal_computers	technology	technology	technology	technology	technology
pharmacology	health	health	health	health	health
philosophically	none	none	none	none	none
physicians	health	health	health	health	health
physicist	science	science	science	science	science
physics	science	science	science	science	science
physiology	science	science	science	science	science
play	sports	sports	sports	sports	sports
played	arts	none	none	none	none
player	sports	none	sports	sports	sports
players	sports	sports	sports	sports	sports
polarized	technology	science	science	science	none
polemics	politics	politics	politics	politics	politics
political	politics	politics	politics	politics	politics
political_alliance	politics	politics	politics	politics	politics
political_campaign	politics	politics	politics	politics	politics
political_corruption	politics	politics	politics	politics	politics
political_machine	politics	politics	politics	politics	politics
political_parties	politics	politics	politics	politics	politics
political_parties'	politics	politics	politics	politics	politics
political_party	politics	politics	politics	politics	politics
political_philosophy	politics	politics	politics	politics	politics
political_scandal	politics	politics	politics	politics	politics
political_scientists	politics	politics	politics	politics	politics
political_spectrum	politics	politics	politics	politics	politics
politically	politics	politics	politics	politics	politics
politician	politics	politics	politics	politics	politics
politicians	politics	politics	politics	politics	politics
politicians'	politics	politics	politics	politics	politics
politics	politics	politics	politics	politics	politics
polytechnic	education	technology	technology	technology	education
postdoctoral	education	education	science	science	education
pragmatism	none	none	politics	politics	politics
president	politics	politics	politics	politics	politics
presidential_hopefuls	politics	politics	politics	politics	politics
prevention	none	health	none	none	none
price	business	business	business	business	business
prices	business	business	business	business	business
primary_care	health	health	health	health	health
primary_health_care	health	health	health	health	health
prime_ministership	politics	politics	politics	politics	politics
prison	none	none	politics	none	none
private_school	education	education	education	education	education
profitability	business	business	business	business	business
profits	business	business	business	business	business
program	none	none	none	none	none
progressives	politics	politics	politics	politics	politics
project	none	science	none	none	none
properties	real_estate	real_estate	real_estate	real_estate	real_estate
property	real_estate	real_estate	real_estate	real_estate	real_estate
property_management	real_estate	real_estate	real_estate	real_estate	real_estate
prosecutors	none	none	none	none	none
prudential_douglas_elliman	real_estate	real_estate	real_estate	real_estate	real_estate
public	none	none	none	none	none
public_art	arts	arts	arts	arts	arts
public_health	politics	politics	health	health	health
public_health_service	health	health	health	health	health
public_hospital	health	health	health	health	health
public_school	education	education	education	education	education
publications	education	education	science	science	science
publisher	science	science	none	none	none
publishing	none	education	none	none	none
rate	business	business	business	business	none
rates	business	business	business	business	none
real_estate	real_estate	real_estate	real_estate	real_estate	real_estate
real_estate_broker	real_estate	real_estate	real_estate	real_estate	real_estate
real_estate_bubble	real_estate	real_estate	real_estate	real_estate	real_estate
real_estate_development	real_estate	real_estate	real_estate	real_estate	real_estate
real_estate_investment_trust	real_estate	real_estate	real_estate	real_estate	real_estate
real_property	real_estate	real_estate	real_estate	real_estate	real_estate
realtor	real_estate	real_estate	real_estate	real_estate	real_estate
realtors	real_estate	real_estate	real_estate	real_estate	real_estate
realty	real_estate	real_estate	real_estate	real_estate	real_estate
regents	education	education	education	education	education
rent	real_estate	real_estate	real_estate	real_estate	real_estate
rental	real_estate	real_estate	real_estate	real_estate	real_estate
rental_apartments	real_estate	real_estate	real_estate	real_estate	real_estate
rental_housing	real_estate	real_estate	real_estate	real_estate	real_estate
rental_units	real_estate	real_estate	real_estate	real_estate	real_estate
renters	real_estate	real_estate	real_estate	real_estate	real_estate
rents	real_estate	real_estate	real_estate	real_estate	real_estate
report	none	none	none	none	none
republican	politics	politics	politics	politics	politics
republican_party	politics	politics	politics	politics	politics
republicans	politics	politics	politics	politics	politics
resales	real_estate	real_estate	real_estate	real_estate	none
research	science	science	science	science	science
researcher	science	science	science	science	science
researchers	science	science	science	science	science
residents	real_estate	real_estate	real_estate	real_estate	real_estate
retailing	business	business	business	business	business
rhetoric	politics	none	none	none	none
room	none	none	real_estate	real_estate	real_estate
routers	technology	technology	technology	technology	technology
rtz	arts	arts	none	none	none
russia	politics	politics	politics	politics	none
saddam_hussein	politics	politics	politics	politics	politics
said	none	none	none	none	none
satellites	science	technology	technology	technology	technology
say	none	none	none	none	none
schlott_realtors	real_estate	real_estate	real_estate	real_estate	real_estate
school	education	education	education	education	education
school_choice	education	education	education	education	education
school_district	education	education	education	education	education
school_districts	education	education	education	education	education
schooling	education	education	education	education	education
schools	education	education	education	education	education
schools'	education	education	education	education	education
science	science	science	science	science	science
sciences	science	science	science	science	science
scientific	science	science	science	science	science
scientific_experiments	science	science	science	science	science
scientific_knowledge	science	science	science	science	science
scientifically	science	science	science	science	science
scientist	science	science	science	science	science
scientists	science	science	science	science	science
scientists'	science	science	science	science	science
season	sports	none	sports	sports	sports
secondary_education	education	education	education	education	education
secondary_schools	education	education	education	education	education
secretary	business	business	none	none	none
securities	business	business	business	business	business
securities_firms	business	business	business	business	business
security	none	none	none	none	none
see	none	none	none	none	none
semiconductors	technology	technology	technology	technology	technology
senate	politics	politics	politics	politics	politics
senator	politics	politics	politics	politics	politics
shares	business	business	business	business	business
shiite	none	none	politics	none	none
side	none	none	none	none	none
smithsonian	science	science	none	none	none
soccer	sports	sports	sports	sports	sports
social_conservatives	politics	politics	politics	politics	politics
social_science	science	science	science	science	science
social_sciences	science	science	science	science	science
social_studies	education	education	education	education	science
sociology	science	science	science	science	science
software	technology	technology	technology	technology	technology
soldiers	none	politics	politics	none	none
sophisticated	none	none	none	none	none
space	none	none	none	none	none
special_education	education	education	education	education	education
spectator_sport	sports	sports	sports	sports	sports
speedskating	sports	sports	sports	sports	sports
sport	sports	sports	sports	sports	sports
sporting	sports	sports	sports	sports	sports
sporting_event	sports	sports	sports	sports	sports
sporting_events	sports	sports	sports	sports	sports
sports	sports	sports	sports	sports	sports
sports_marketing	sports	sports	sports	sports	sports
sports_medicine	sports	sports	sports	sports	none
sportsman	sports	sports	sports	sports	sports
sportsmen	sports	sports	sports	sports	sports
sportswriter	sports	sports	sports	sports	sports
sportswriting	sports	sports	sports	sports	sports
stadium	none	sports	sports	sports	sports
state	politics	politics	politics	politics	none
state_department_of_education	education	education	education	education	education
still	none	none	none	none	none
stock	business	business	business	business	business
story	none	none	none	none	none
stravinsky	arts	arts	arts	arts	arts
street	none	none	real_estate	none	none
streets	none	none	real_estate	none	none
students	education	education	education	education	education
studies	education	education	science	education	none
subprime	real_estate	none	real_estate	real_estate	real_estate
subsidiaries	business	business	business	business	business
system	none	none	none	none	none
systems	none	none	none	none	technology
take	none	none	none	none	none
tb	health	health	health	health	none
teacher	education	education	education	education	education
teachers	education	education	education	education	education
teaching	education	education	education	education	education
team	sports	sports	sports	sports	none
teams	sports	sports	sports	sports	sports
tech	technology	technology	technology	technology	technology
technical	technology	technology	technology	technology	technology
technological	technology	technology	technology	technology	technology
technological_advances	technology	technology	technology	technology	technology
technological_innovation	technology	technology	technology	technology	technology
technologically	technology	technology	technology	technology	technology
technologically_advanced	technology	technology	technology	technology	technology
technologies	technology	technology	technology	technology	technology
technology	technology	technology	technology	technology	technology
technology_transfer	technology	technology	technology	technology	technology
teikoku_databank	technology	technology	technology	technology	technology
tenants	real_estate	real_estate	real_estate	real_estate	real_estate
tennis	sports	sports	sports	sports	sports
textiles	arts	arts	arts	arts	arts
theater	arts	arts	arts	arts	arts
think	none	none	none	none	none
three	none	none	none	none	none
time	none	none	none	none	none
today	none	none	none	none	none
tokyo	none	none	none	none	none
tournament	sports	sports	sports	sports	sports
town	real_estate	real_estate	real_estate	real_estate	real_estate
toxicology	science	science	science	science	science
toyota_motor	business	business	business	business	none
trading	business	business	business	business	business
traditionalist	politics	politics	politics	politics	politics
trebach_realty	real_estate	real_estate	real_estate	real_estate	real_estate
trial	none	none	none	none	none
troops	politics	politics	politics	politics	politics
tuberculosis	health	health	health	health	health
two	none	none	none	none	none
united_states	politics	politics	politics	politics	none
universal_health_care	health	health	health	health	health
university	education	education	education	education	education
unprincipled	none	none	none	none	none
ventures	none	none	none	none	none
virology	science	science	science	science	science
virus	health	health	health	health	health
visual_arts	arts	arts	arts	arts	arts
vitriolic	none	none	politics	none	none
vote	politics	politics	politics	politics	politics
voters	politics	politics	politics	politics	politics
walkmans	technology	technology	technology	technology	technology
want	none	none	none	none	none
war	politics	politics	politics	politics	politics
washington	politics	politics	politics	politics	none
way	none	none	none	none	none
weapons	politics	politics	politics	politics	none
west	none	none	none	none	none
white	none	none	none	none	none
white_house	politics	politics	politics	politics	politics
whitehouse	politics	politics	politics	politics	politics
william_forsythe	arts	arts	arts	arts	arts
win	none	none	none	none	none
wireless_technology	technology	technology	technology	technology	technology
woman	none	none	none	none	none
women	none	none	none	none	none
won	none	none	none	none	none
woodrow_wilson_school	education	education	education	education	education
world_cup	sports	sports	sports	sports	sports
worldview	politics	politics	none	none	none
would	none	none	none	none	none
year	none	none	none	none	none
years	none	none	none	none	none
york	none	none	none	none	none
young	none	none	education	none	none
