Term	Annotator1	Annotator2	Annotator3	Annotator4	Annotator5
continental_europe	none	none	none	none	none
corporation	none	none	none	none	none
corsica	france	france	france	france	france
could	none	none	none	none	none
countries	none	none	none	none	none
countries'	none	none	none	none	none
country	none	none	none	none	none
court	none	none	none	none	none
crackdown	none	none	none	none	none
currency	none	none	none	none	none
daimler_benz	germany	germany	germany	germany	germany
daiwa	none	japan	japan	japan	none
day	none	none	none	none	none
de	none	none	none	none	germany
deal	none	none	none	none	none
defense	none	none	none	none	none
democrat	none	none	united_states	none	united_states
democratic	none	none	none	none	united_states
democrats	none	none	united_states	none	united_states
deng	china	china	china	china	china
deng_xiaoping	china	china	china	china	china
denki	none	japan	japan	japan	japan
department	none	none	none	none	none
developing_countries	none	none	none	none	none
director	none	none	none	none	none
disease	none	none	none	none	none
division	none	none	none	none	none
dmitri	russia	russia	russia	russia	russia
dmitry	none	russia	russia	russia	russia
doctor	none	none	none	none	none
doctors	none	none	none	none	none
dollar	none	none	none	none	none
domenico	italy	italy	italy	italy	italy
dominique	france	france	france	france	none
dr	none	none	none	none	none
drug	none	none	none	none	none
east	none	none	none	none	none
east_berlin	germany	germany	germany	germany	germany
east_german	germany	germany	germany	germany	germany
east_german_mark	germany	germany	germany	germany	germany
east_germans	germany	germany	germany	germany	germany
east_germans'	germany	germany	germany	germany	germany
east_germany	germany	germany	germany	germany	germany
eastern_canada	canada	canada	canada	canada	canada
eastern_germans	germany	germany	germany	germany	germany
eastern_germans'	germany	germany	germany	germany	germany
eastern_germany	germany	germany	germany	germany	germany
economic	none	none	none	none	none
economy	none	none	none	none	none
edmonton	canada	canada	canada	canada	canada
education	none	none	none	none	none
election	none	none	none	none	none
electronics	none	none	none	none	none
england	britain	britain	britain	britain	britain
english	britain	britain	britain	britain	britain
etienne	none	united_states	france	none	none
europe	none	none	none	none	none
european	none	none	none	none	none
european_countries	none	none	none	none	none
european_nations	none	none	none	none	none
european_union	none	none	none	none	none
even	none	none	none	none	none
every	none	none	none	none	none
exchequer	britain	britain	britain	britain	britain
executives	none	none	none	none	none
exports	none	none	none	none	none
falluja	iraq	iraq	iraq	iraq	iraq
family	none	none	none	none	none
fans	none	none	none	none	none
federal	none	none	none	none	none
federal_republic	none	none	none	none	none
feet	none	none	none	none	none
financial	none	none	none	none	none
financial_times	none	none	britain	none	britain
first	none	none	none	none	none
forces	none	none	none	none	none
foreign	none	none	none	none	none
former	none	none	none	none	none
francais	france	france	france	france	france
francaise	france	france	france	france	france
france	france	france	france	france	france
francesco	italy	italy	italy	italy	italy
francis_mer	france	france	france	france	france
francois	france	france	france	france	france
francois_mitterrand	france	france	france	france	france
french	france	france	france	france	france
french_canadian	canada	canada	canada	canada	canada
french_state	france	france	france	france	france
frenchman	france	france	france	france	france
frenchmen	france	france	france	france	france
fujian	china	china	china	china	china
fujisawa	japan	japan	japan	japan	japan
fuzhou	china	china	china	china	china
galina	none	none	russia	russia	russia
game	none	none	none	none	none
games	none	none	none	none	none
gansu	china	china	china	china	china
gaulle	france	france	france	france	france
gazprom	russia	russia	russia	russia	russia
gen	none	none	none	none	none
general	none	none	none	none	none
genoa	italy	italy	italy	italy	italy
german	germany	germany	germany	germany	germany
german_democratic_republic	none	none	germany	germany	germany
german_government	germany	germany	germany	germany	germany
german_reunification	germany	germany	germany	germany	germany
germans	germany	germany	germany	germany	germany
germany	germany	germany	germany	germany	germany
germanys	germany	germany	germany	germany	germany
get	none	none	none	none	none
giuseppe	italy	italy	italy	italy	italy
global	none	none	none	none	none
go	none	none	none	none	none
going	none	none	none	none	none
good	none	none	none	none	none
gorbachev	russia	russia	russia	russia	russia
gordon_brown	britain	britain	britain	britain	britain
got	none	none	none	none	none
government	none	none	none	none	none
gratton	none	britain	britain	britain	britain
great_britain	britain	britain	britain	britain	britain
grigory	russia	russia	russia	russia	russia
group	none	none	none	none	none
guangdong	china	china	china	china	china
guangdong_province	china	china	china	china	china
guangxi	china	china	china	china	china
guangzhou	china	china	china	china	china
guanxi	china	china	china	china	none
guillaume	france	france	france	france	france
guo	none	china	china	china	china
hainan	china	china	china	china	china
hajime	japan	japan	japan	japan	japan
hangzhou	china	china	china	china	china
health	none	none	none	none	none
helmut_kohl	germany	germany	germany	germany	germany
henri	none	none	none	none	none
here	none	none	none	none	none
heseltine	britain	britain	britain	britain	britain
high_school	none	none	none	none	none
hiroshi	japan	japan	japan	japan	japan
hockey	none	none	none	none	none
hollande	france	france	france	france	france
home	none	none	none	none	none
hong_kong	china	china	china	china	china
house	none	none	none	none	none
houses	none	none	none	none	none
housing	none	none	none	none	none
hu	none	none	china	china	china
hu_jintao	china	china	china	china	china
huan	china	china	china	china	china
huang	none	china	china	china	china
huizhou	china	china	china	china	china
hussein	iraq	iraq	iraq	iraq	iraq
ice	none	none	none	none	none
imbalance	none	none	none	none	none
imports	none	none	none	none	none
industrial_bank_of_japan	japan	japan	japan	japan	japan
industry	none	none	none	none	none
infected	none	none	none	none	none
inflation	none	none	none	none	none
insurgency	iraq	iraq	iraq	iraq	iraq
insurgents	iraq	none	iraq	iraq	none
intelligence	none	none	none	none	none
interest	none	none	none	none	none
international	none	none	none	none	none
invaded_kuwait	iraq	iraq	iraq	iraq	none
invasion	none	none	none	none	none
investigation	none	none	none	none	none
investment	none	none	none	none	none
investors	none	none	none	none	none
iraq	iraq	iraq	iraq	iraq	iraq
iraqi	iraq	iraq	iraq	iraq	iraq
iraqi_armed_forces	none	iraq	iraq	iraq	iraq
iraqi_army	iraq	iraq	iraq	iraq	iraq
iraqi_interim_government	iraq	iraq	iraq	iraq	iraq
iraqi_invasion_of_kuwait	iraq	iraq	iraq	iraq	iraq
iraqi_kurdistan	iraq	iraq	iraq	iraq	iraq
iraqi_police	iraq	iraq	iraq	iraq	iraq
iraqi_security_forces	iraq	iraq	iraq	iraq	iraq
iraqis	iraq	iraq	iraq	iraq	iraq
iraqis'	iraq	iraq	iraq	iraq	iraq
iraqs	iraq	iraq	iraq	iraq	iraq
ireland	britain	britain	britain	britain	britain
italia	italy	italy	italy	italy	italy
italian	italy	italy	italy	italy	italy
italian_police	italy	italy	italy	italy	italy
italiana	italy	italy	italy	italy	italy
italians	italy	italy	italy	italy	italy
italy	italy	italy	italy	italy	italy
itv	united_states	united_states	britain	britain	none
jacques	france	france	france	france	france
jacques_chirac	france	france	france	france	france
japan	japan	japan	japan	japan	japan
japan_post	japan	japan	japan	japan	japan
japanese	japan	japan	japan	japan	japan
japanese_american	japan	japan	japan	japan	none
japanese_language	japan	japan	japan	japan	japan
japanese_military	japan	japan	japan	japan	japan
japanese_yen	japan	japan	japan	japan	japan
jean	none	none	france	none	none
jean_claude	france	france	france	france	france
jean_claude_trichet	france	france	france	france	france
jean_francois	france	france	france	france	france
jean_jacques	france	france	france	france	france
jean_louis	france	france	france	france	france
jean_luc	none	none	france	france	france
jean_michel	united_states	united_states	united_states	united_states	united_states
jean_pierre	france	france	france	france	france
john_major	britain	britain	britain	britain	britain
judge	none	none	none	none	none
juventus	italy	italy	italy	italy	italy
kansai	japan	japan	japan	japan	japan
kasyanov	russia	russia	russia	russia	russia
kazakhstan	none	none	russia	none	none
kazuo	britain	japan	japan	japan	japan
khodorkovsky	russia	russia	russia	russia	russia
kiichi_miyazawa	japan	japan	none	japan	japan
killed	none	none	none	none	none
know	none	none	none	none	none
kohl	none	none	united_states	none	germany
koichi	none	none	japan	japan	japan
kremlin	russia	russia	russia	russia	russia
kuwait	iraq	iraq	iraq	iraq	none
kuwaiti	iraq	iraq	iraq	iraq	none
kuwaitis	iraq	iraq	iraq	iraq	none
labor_party	none	none	none	none	britain
largest	none	none	none	none	none
last	none	none	none	none	none
laurier	france	france	canada	france	none
law	none	none	none	none	none
lawyer	none	none	none	none	none
lawyers	none	none	none	none	none
lazio	italy	italy	italy	italy	italy
league	none	none	none	none	none
leonid	none	none	russia	none	russia
li	china	china	china	china	china
like	none	none	none	none	none
linkage	none	none	none	none	none
liu	none	china	china	china	china
london	britain	britain	britain	britain	britain
londoners	britain	britain	britain	britain	britain
long	none	none	none	none	none
luxembourg	none	none	none	none	none
lyonnaise	none	none	france	france	france
made	none	none	none	none	none
maeda	japan	japan	japan	japan	japan
mainland	none	none	china	china	none
mainland_china	china	china	china	china	china
mainland_chinese	china	china	china	china	china
make	none	none	none	none	none
manchester	britain	britain	britain	britain	britain
manitoba	canada	canada	canada	canada	canada
many	none	none	none	none	none
margaret_thatcher	britain	britain	britain	britain	britain
marine	none	none	none	none	none
market	none	none	none	none	none
markets	none	none	none	none	none
marseilles	france	france	france	france	france
matsushita	japan	japan	japan	japan	japan
mayor	none	none	none	none	none
medical	none	none	none	none	none
meeting	none	none	none	none	none
members	none	none	none	none	none
men	none	none	none	none	none
michel	none	none	none	none	none
michel_rocard	france	france	france	france	france
mikhail	russia	russia	russia	russia	russia
milan	italy	italy	italy	italy	italy
milanese	italy	italy	italy	italy	italy
miles	none	none	none	none	none
military	none	none	none	none	none
million	none	none	none	none	none
ministry	none	none	none	none	none
mironov	russia	russia	russia	russia	russia
mitsubishi	japan	japan	japan	japan	japan
mitsui	japan	japan	japan	japan	japan
mitterrand	france	france	france	france	france
miyamoto	japan	japan	japan	japan	japan
mizuho	japan	japan	japan	japan	japan
modena	italy	italy	italy	italy	italy
money	none	none	none	none	none
montreal	canada	canada	canada	canada	canada
montrealers	canada	canada	canada	canada	canada
moscow	russia	russia	russia	russia	russia
most	none	none	none	none	none
mosul	iraq	iraq	iraq	iraq	iraq
mr	none	none	none	none	none
ms	none	none	none	none	none
much	none	none	none	none	none
munich	germany	germany	germany	germany	germany
music	none	none	none	none	none
nagoya	japan	japan	japan	japan	japan
nantes	france	france	france	france	france
naples	italy	italy	italy	italy	italy
nation	none	none	none	none	none
national	none	none	none	none	none
national_health_service	none	none	britain	none	none
nations	none	none	none	none	none
nations'	none	none	none	none	none
nato	none	none	none	none	none
nazi_germany	germany	germany	germany	germany	germany
ne	france	none	none	france	none
near	none	none	none	none	none
nearby	none	none	none	none	none
neighborhood	none	none	none	none	none
netherlands	none	none	none	none	none
never	none	none	none	none	none
new	none	none	none	none	none
newfoundland	canada	canada	canada	canada	canada
nicolas_sarkozy	france	france	france	france	france
nigel_lawson	britain	britain	britain	britain	britain
night	none	none	none	none	none
nihon	japan	japan	japan	japan	japan
nikko	none	japan	japan	japan	japan
nikko_securities	japan	japan	japan	japan	japan
nippon	japan	japan	japan	japan	japan
nippon_steel	none	japan	japan	japan	japan
noboru	japan	japan	japan	japan	japan
noboru_takeshita	japan	japan	japan	japan	japan
nobuo	japan	japan	japan	japan	japan
nomura	japan	japan	japan	japan	japan
nomura_securities	japan	japan	japan	japan	japan
northeast_china	china	china	china	china	china
northern_canada	canada	canada	canada	canada	canada
northern_england	britain	britain	britain	britain	britain
northern_ireland	britain	britain	britain	britain	britain
northern_italy	italy	italy	italy	italy	italy
now	none	none	none	none	none
nozaki	japan	japan	japan	japan	japan
nunavut	canada	canada	canada	canada	canada
occupation	none	none	none	none	none
officers	none	none	none	none	none
official	none	none	none	none	none
officials	none	none	none	none	none
oil	none	none	none	none	none
old	none	none	none	none	none
oleg	russia	russia	russia	russia	russia
one	none	none	none	none	none
only	none	none	none	none	none
ontario	canada	canada	canada	canada	canada
opposition_labor_party	britain	britain	britain	britain	britain
orix	japan	japan	japan	japan	japan
osaka	japan	japan	japan	japan	japan
ostmark	germany	germany	germany	germany	germany
other	none	none	none	none	none
ottawa	canada	canada	canada	canada	canada
overseas_chinese	china	china	china	china	china
p.l.c	none	none	none	none	none
parents	none	none	none	none	none
paris	france	france	france	france	france
parisian	france	france	france	france	france
part	none	none	none	none	none
party	none	none	none	none	none
patient	none	none	none	none	none
patients	none	none	none	none	none
pentagon	united_states	united_states	united_states	united_states	united_states
people	none	none	none	none	none
percent	none	none	none	none	none
perugia	italy	italy	italy	italy	italy
philippe	none	none	france	none	none
pierre	france	france	france	france	france
plan	none	none	none	none	none
play	none	none	none	none	none
played	none	none	none	none	none
player	none	none	none	none	none
players	none	none	none	none	none
police	none	none	none	none	none
political	none	none	none	none	none
porto	italy	italy	italy	italy	none
president	none	none	none	none	none
president_bush	united_states	united_states	united_states	united_states	united_states
president_francois_mitterrand	france	france	france	france	france
presidential	none	none	none	none	none
price	none	none	none	none	none
prices	none	none	none	none	none
prime_minister_li_peng	china	china	china	china	china
prime_minister_margaret_thatcher	britain	britain	britain	britain	britain
prince_edward_island	canada	canada	canada	canada	canada
program	none	none	none	none	none
project	none	none	none	none	none
prosecutors	none	none	none	none	none
public	none	none	none	none	none
putin	russia	russia	russia	russia	russia
qinghua	none	china	china	china	china
quebec	canada	canada	canada	canada	canada
quebec_city	canada	canada	canada	canada	canada
quebecers	canada	canada	canada	canada	canada
quebecois	canada	canada	canada	canada	canada
raffarin	france	france	france	france	france
rate	none	none	none	none	none
rates	none	none	none	none	none
ravenna	italy	italy	italy	italy	italy
reggio	none	none	italy	none	italy
report	none	none	none	none	none
republican	none	none	united_states	united_states	united_states
republicans	united_states	none	united_states	united_states	united_states
republics	none	none	united_states	none	none
residents	none	none	none	none	none
reunification	none	none	germany	none	none
right	none	none	none	none	none
rocard	none	none	none	none	none
rome	italy	italy	italy	italy	italy
room	none	none	none	none	none
royal	britain	none	britain	britain	none
russia	russia	russia	russia	russia	russia
russia_today	russia	russia	russia	russia	russia
russian	russia	russia	russia	russia	russia
russian_culture	russia	russia	russia	russia	russia
russian_federation	russia	russia	russia	russia	russia
russian_parliament	russia	russia	russia	russia	russia
russian_president	russia	russia	russia	russia	russia
russian_republic	russia	russia	russia	russia	russia
russians	russia	russia	russia	russia	russia
russians'	russia	russia	russia	russia	russia
saatchi_saatchi	none	none	britain	none	none
saddam	iraq	iraq	iraq	iraq	iraq
saddam_hussein	iraq	iraq	iraq	iraq	iraq
saddamists	iraq	iraq	iraq	iraq	iraq
said	none	none	none	none	none
saitama	none	japan	japan	japan	japan
sakai	none	none	japan	japan	japan
sanctions	none	none	none	none	none
sanwa	japan	japan	japan	japan	japan
sardinia	italy	italy	italy	italy	italy
sarkozy	france	france	france	france	france
saskatchewan	canada	canada	canada	canada	canada
saskatoon	canada	canada	canada	canada	canada
sault	none	none	none	none	none
say	none	none	none	none	none
school	none	none	none	none	none
schools	none	none	none	none	none
scotland	britain	britain	britain	britain	britain
scottish	britain	britain	britain	britain	britain
season	none	none	none	none	none
security	none	none	none	none	none
see	none	none	none	none	none
senate	none	none	none	none	united_states
senator	none	none	none	none	united_states
senior	none	none	none	none	none
sergei	russia	russia	russia	russia	russia
sergey	russia	russia	russia	russia	russia
serie	none	none	italy	none	italy
shanghai	china	china	china	china	china
shares	none	none	none	none	none
shenzhen	china	china	china	china	china
shiite	iraq	iraq	iraq	iraq	iraq
shinsei_bank	japan	japan	japan	japan	japan
shizuoka	japan	japan	japan	japan	japan
siberia	russia	russia	russia	russia	russia
sicily	italy	italy	italy	italy	italy
side	none	none	none	none	none
sir	none	none	britain	none	none
so	none	none	none	none	none
soldiers	none	none	none	none	none
some	none	none	none	none	none
something	none	none	none	none	none
south_china	china	china	china	china	china
south_korea	none	none	none	none	none
southern_italy	italy	italy	italy	italy	italy
southern_ontario	canada	canada	canada	canada	canada
soviet	russia	russia	russia	russia	russia
soviet_army	russia	russia	russia	russia	russia
soviet_bloc	russia	russia	russia	russia	russia
soviet_government	russia	russia	russia	russia	russia
soviet_military	russia	russia	russia	russia	russia
soviet_state	russia	russia	russia	russia	russia
soviet_union	russia	russia	russia	russia	russia
soviets	russia	russia	russia	russia	russia
space	none	none	none	none	none
spain	none	none	none	none	none
stars	none	none	none	none	none
state	none	none	none	none	none
still	none	none	none	none	none
stock	none	none	none	none	none
story	none	none	none	none	none
strasbourg	france	france	france	france	france
street	none	none	none	none	none
streets	none	none	none	none	none
student	none	none	none	none	none
students	none	none	none	none	none
sumitomo	united_states	japan	japan	japan	japan
sunni	iraq	iraq	iraq	iraq	iraq
support	none	none	none	none	none
surplus	none	none	none	none	none
suzuki	japan	japan	japan	japan	japan
taipei	china	china	china	china	china
taiwan	china	china	china	china	china
taiwanese	china	china	china	china	china
taiyuan	china	china	china	china	china
taxes	none	none	none	none	none
teacher	none	none	none	none	none
teachers	none	none	none	none	none
team	none	none	none	none	none
teams	none	none	none	none	none
tebbit	britain	britain	britain	britain	britain
that	none	none	none	none	none
thatcher	britain	britain	britain	britain	britain
thatcher_government	britain	britain	britain	britain	britain
things	none	none	none	none	none
think	none	none	none	none	none
tiananmen_square	china	china	china	china	china
tianjin	china	china	china	china	china
time	none	none	none	none	none
today	none	none	none	none	none
tokai	japan	japan	japan	japan	japan
tokyo	japan	japan	japan	japan	japan
tokyo_bay	japan	japan	japan	japan	japan
tokyo_stock_exchange	japan	japan	japan	japan	japan
told	none	none	none	none	none
tony_blair	britain	britain	britain	britain	britain
torino	italy	italy	italy	italy	italy
toronto	canada	canada	canada	canada	canada
toshiaki	japan	japan	japan	japan	japan
town	none	none	none	none	none
toyo_shinkin	japan	japan	japan	japan	japan
trade	none	none	none	none	none
trading_partners	none	none	none	none	none
traditional_chinese	china	china	china	china	china
treviso	italy	italy	italy	italy	italy
trieste	italy	italy	italy	italy	italy
trillion_yen	japan	japan	japan	japan	japan
troops	none	none	none	none	none
turin	italy	italy	italy	italy	italy
tuscany	italy	italy	italy	italy	italy
two	none	none	none	none	none
u	none	none	none	none	none
u.s	united_states	united_states	united_states	united_states	united_states
udine	italy	italy	italy	italy	italy
ukraine	none	none	russia	none	none
umbria	italy	italy	italy	italy	italy
unification	none	none	none	none	none
united_kingdom	britain	britain	britain	britain	britain
united_nation	none	none	none	none	none
united_nations	none	none	none	none	none
united_nations''	none	none	none	none	none
united_states	united_states	united_states	united_states	united_states	united_states
united_states'	united_states	united_states	united_states	united_states	united_states
united_states_air_force	united_states	united_states	united_states	united_states	united_states
united_states_ambassador_to_china	united_states	united_states	none	united_states	none
united_states_ambassador_to_japan	united_states	united_states	none	none	none
united_states_and_britain	none	none	none	none	none
united_states_armed_forces	united_states	united_states	united_states	united_states	united_states
united_states_army	united_states	united_states	united_states	united_states	united_states
united_states_central_command	united_states	united_states	united_states	united_states	united_states
united_states_congress	united_states	united_states	united_states	united_states	united_states
united_states_government	united_states	united_states	united_states	united_states	united_states
united_states_marine	united_states	united_states	united_states	united_states	united_states
united_states_marines	united_states	united_states	united_states	united_states	united_states
united_states_navy	united_states	united_states	united_states	united_states	united_states
united_states_of_america	united_states	united_states	united_states	united_states	united_states
united_states_senate	united_states	united_states	united_states	united_states	united_states
united_states_treasury	united_states	united_states	united_states	united_states	united_states
united_states_treasury_department	united_states	united_states	united_states	united_states	united_states
university	none	none	none	none	none
us	united_states	none	united_states	united_states	none
vancouver	canada	canada	canada	canada	canada
venice	italy	italy	italy	italy	italy
vicenza	italy	italy	italy	italy	italy
viktor	russia	russia	none	russia	russia
villepin	france	france	france	france	france
vinogradov	russia	russia	russia	russia	russia
virus	none	none	none	none	none
vladimir	russia	russia	russia	russia	russia
vladislav	russia	russia	russia	russia	russia
vote	none	none	none	none	none
wales	britain	britain	britain	britain	britain
wang	united_states	china	china	china	china
war	none	none	none	none	none
washington	united_states	united_states	united_states	united_states	united_states
way	none	none	none	none	none
weapons	none	none	none	none	none
week	none	none	none	none	none
wen	none	none	china	china	china
wenzhou	china	china	china	china	china
west	none	none	none	none	none
west_berlin	germany	germany	germany	germany	germany
west_german	germany	germany	germany	germany	germany
west_germany	germany	germany	germany	germany	germany
western_canada	canada	canada	canada	canada	canada
western_europe	none	none	none	none	none
western_european	none	none	none	none	none
westminster	britain	britain	britain	britain	britain
which	none	none	none	none	none
while	none	none	none	none	none
white_house	none	united_states	united_states	united_states	united_states
whitehouse	united_states	united_states	united_states	united_states	united_states
winnipeg	canada	canada	canada	canada	canada
wolfsburg	germany	germany	germany	germany	germany
women	none	none	none	none	none
workers	none	none	none	none	none
world	none	none	none	none	none
would	none	none	none	none	none
wuhan	china	china	china	china	china
xu	none	china	china	china	china
yamaichi	japan	japan	japan	japan	japan
yamaichi_securities	japan	japan	japan	japan	japan
yang	none	china	china	china	china
yasuda	japan	japan	japan	japan	japan
yasuhiro_nakasone	japan	japan	japan	japan	japan
year	none	none	none	none	none
years	none	none	none	none	none
yekaterina	russia	russia	russia	russia	russia
yellowknife	canada	canada	canada	canada	canada
yeltsin	russia	russia	russia	russia	russia
yen	japan	japan	japan	japan	japan
yesterday	none	none	none	none	none
york	britain	united_states	none	britain	none
yuan	china	china	china	china	china
yukos	russia	russia	russia	russia	russia
zhang	china	china	china	china	china
zhou	china	china	china	china	china
